id,category,name_zh,summary,shape_primary,difficulty,intensity,style_tags,best_crops,perspective_dependency,image
ST-017,ST,无墙假倚靠,躯干略向一侧倾，重心与骨盆反向补偿,DIAGONAL,medium,3,松弛|时尚编辑,full_body|three_quarter,low,assets/pose-images/ST-017.webp
ST-018,ST,胸胯螺旋,骨盆向一侧、胸腔向另一侧，形成明显螺旋,TWIST,medium,3,戏剧化|时尚编辑,full_body|three_quarter,low,assets/pose-images/ST-018.webp
ST-019,ST,仰头胸腔打开,胸腔上提、颈部延展、头部仰起,ARCH,medium,3,戏剧化|清冷,full_body|three_quarter,low,assets/pose-images/ST-019.webp
ST-020,ST,手后脑侧弧,一手放后脑，躯干向相反方向侧弯,C_CURVE,easy,2,优雅|时尚编辑,full_body|three_quarter,low,assets/pose-images/ST-020.webp
ST-021,ST,双臂过头椭圆,双臂过头形成框架，身体保持纵向拉长,VERTICAL,medium,3,优雅|戏剧化,full_body|three_quarter,low,assets/pose-images/ST-021.webp
ST-022,ST,横臂收拢站,一臂横过身体，肩线略收，形成克制闭合感,COMPACT,easy,2,清冷|柔和,full_body|three_quarter,low,assets/pose-images/ST-022.webp
ST-023,ST,向镜头单臂前伸,身体保持站立，单臂明显向镜头前伸,FORWARD,medium,3,戏剧化|活泼,full_body|three_quarter,high,assets/pose-images/ST-023.webp
ST-024,ST,侧向大延展,重心落一腿，另一侧手臂和腿形成横向延展,HORIZONTAL,medium,3,时尚编辑|力量感,full_body|three_quarter,low,assets/pose-images/ST-024.webp
ST-025,ST,背身回头站,身体背向或三分之二背向镜头，头部回看,TWIST,easy,2,清冷|优雅,full_body|three_quarter,low,assets/pose-images/ST-025.webp
ST-026,ST,三分之二背身推胯,背部三分之二朝镜头，骨盆向一侧推出,S_CURVE,medium,3,时尚编辑|优雅,full_body|three_quarter,low,assets/pose-images/ST-026.webp
ST-027,ST,双手扶腰角度站,双手扶腰，肘部打开，肩胯形成几何结构,TRIANGLE,easy,2,力量感|时尚编辑,full_body|three_quarter,low,assets/pose-images/ST-027.webp
ST-028,ST,抱臂收拢站,双臂在胸前或腰前形成收拢结构,COMPACT,easy,2,清冷|自然,full_body|three_quarter,low,assets/pose-images/ST-028.webp
ST-029,ST,落肩不对称站,一侧肩主动下沉，另一侧略抬高,ASYMMETRIC,easy,2,时尚编辑|松弛,full_body|three_quarter,low,assets/pose-images/ST-029.webp
ST-030,ST,低位髋折前倾,髋部明显后移，脊柱保持延展，身体向前折,DIAGONAL,medium,3,时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-030.webp
ST-031,ST,侧步定格,一脚向侧方迈出并在落地前后定格,DIAGONAL,medium,3,活泼|时尚编辑,full_body|three_quarter,medium,assets/pose-images/ST-031.webp
ST-032,ST,窄距跟尖错位,双脚很近，以一脚脚跟和另一脚脚尖制造错位,ASYMMETRIC,easy,2,优雅|清冷,full_body|three_quarter,low,assets/pose-images/ST-032.webp
ST-033,ST,秀场停步,前脚刚落、后脚跟抬起，像走秀中途瞬间停住,DIAGONAL,medium,3,时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-033.webp
ST-034,ST,单腿后屈,一腿承重，另一小腿向后抬起形成轻快轮廓,ASYMMETRIC,medium,3,活泼|柔和,full_body|three_quarter,low,assets/pose-images/ST-034.webp
ST-035,ST,胸胯反向侧移,胸腔与骨盆分别向左右侧移，形成图形化S线,S_CURVE,medium,3,时尚编辑|戏剧化,full_body|three_quarter,low,assets/pose-images/ST-035.webp
ST-036,ST,单腿后点支撑·胸胯反向S线,一腿主承重，另一脚向后轻点，拉长后侧腿线；骨盆与胸腔轻度反向侧移，形成连续S形。,S_CURVE,easy,2,优雅|柔和,full_body|three_quarter,low,assets/pose-images/ST-036.webp
ST-037,ST,单腿后点支撑·肩线下压对角,一腿主承重，另一脚向后轻点，拉长后侧腿线；一侧肩线下降，身体主轴向对侧脚形成对角线。,DIAGONAL,medium,3,时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-037.webp
ST-038,ST,单腿后点支撑·侧弯连续弧,一腿主承重，另一脚向后轻点，拉长后侧腿线；躯干向一侧形成连续弧线并保持颈部延长。,C_CURVE,medium,3,优雅|戏剧化,full_body|three_quarter,low,assets/pose-images/ST-038.webp
ST-039,ST,单腿后点支撑·胸腔上提后弓,一腿主承重，另一脚向后轻点，拉长后侧腿线；胸腔上提并可控后伸，打开身体前侧。,ARCH,medium,4,戏剧化|优雅,full_body|three_quarter,low,assets/pose-images/ST-039.webp
ST-040,ST,单腿后点支撑·髋折前倾,一腿主承重，另一脚向后轻点，拉长后侧腿线；从髋部折叠前倾，保持背部延展形成前向对角。,DIAGONAL,medium,3,时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-040.webp
ST-041,ST,单腿后点支撑·胸胯螺旋扭转,一腿主承重，另一脚向后轻点，拉长后侧腿线；胸腔与骨盆反向旋转形成清晰螺旋。,TWIST,medium,4,时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-041.webp
ST-042,ST,单腿后点支撑·纵向拔高非对称,一腿主承重，另一脚向后轻点，拉长后侧腿线；身体向上拔高，同时左右侧保持不同高度与长度。,ASYMMETRIC,medium,3,时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-042.webp
ST-043,ST,单腿侧点支撑·胸胯反向S线,一腿承重，另一腿向侧方点地形成横向延展；骨盆与胸腔轻度反向侧移，形成连续S形。,S_CURVE,easy,2,优雅|柔和,full_body|three_quarter,low,assets/pose-images/ST-043.webp
ST-044,ST,单腿侧点支撑·肩线下压对角,一腿承重，另一腿向侧方点地形成横向延展；一侧肩线下降，身体主轴向对侧脚形成对角线。,DIAGONAL,medium,3,时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-044.webp
ST-045,ST,单腿侧点支撑·侧弯连续弧,一腿承重，另一腿向侧方点地形成横向延展；躯干向一侧形成连续弧线并保持颈部延长。,C_CURVE,medium,3,优雅|戏剧化,full_body|three_quarter,low,assets/pose-images/ST-045.webp
ST-046,ST,单腿侧点支撑·胸腔上提后弓,一腿承重，另一腿向侧方点地形成横向延展；胸腔上提并可控后伸，打开身体前侧。,ARCH,medium,4,戏剧化|优雅,full_body|three_quarter,low,assets/pose-images/ST-046.webp
ST-047,ST,单腿侧点支撑·髋折前倾,一腿承重，另一腿向侧方点地形成横向延展；从髋部折叠前倾，保持背部延展形成前向对角。,DIAGONAL,medium,3,时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-047.webp
ST-048,ST,单腿侧点支撑·胸胯螺旋扭转,一腿承重，另一腿向侧方点地形成横向延展；胸腔与骨盆反向旋转形成清晰螺旋。,TWIST,medium,4,时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-048.webp
ST-049,ST,单腿侧点支撑·纵向拔高非对称,一腿承重，另一腿向侧方点地形成横向延展；身体向上拔高，同时左右侧保持不同高度与长度。,ASYMMETRIC,medium,3,时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-049.webp
ST-050,ST,前后宽错步·胸胯反向S线,双脚前后明显错开，建立纵深和稳定基底；骨盆与胸腔轻度反向侧移，形成连续S形。,S_CURVE,medium,3,优雅|柔和,full_body|three_quarter,low,assets/pose-images/ST-050.webp
ST-051,ST,前后宽错步·肩线下压对角,双脚前后明显错开，建立纵深和稳定基底；一侧肩线下降，身体主轴向对侧脚形成对角线。,DIAGONAL,medium,3,时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-051.webp
ST-052,ST,前后宽错步·侧弯连续弧,双脚前后明显错开，建立纵深和稳定基底；躯干向一侧形成连续弧线并保持颈部延长。,C_CURVE,medium,3,优雅|戏剧化,full_body|three_quarter,low,assets/pose-images/ST-052.webp
ST-053,ST,前后宽错步·胸腔上提后弓,双脚前后明显错开，建立纵深和稳定基底；胸腔上提并可控后伸，打开身体前侧。,ARCH,medium,4,戏剧化|优雅,full_body|three_quarter,low,assets/pose-images/ST-053.webp
ST-054,ST,前后宽错步·髋折前倾,双脚前后明显错开，建立纵深和稳定基底；从髋部折叠前倾，保持背部延展形成前向对角。,DIAGONAL,medium,3,时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-054.webp
ST-055,ST,前后宽错步·胸胯螺旋扭转,双脚前后明显错开，建立纵深和稳定基底；胸腔与骨盆反向旋转形成清晰螺旋。,TWIST,medium,4,时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-055.webp
ST-056,ST,前后宽错步·纵向拔高非对称,双脚前后明显错开，建立纵深和稳定基底；身体向上拔高，同时左右侧保持不同高度与长度。,ASYMMETRIC,medium,3,时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-056.webp
ST-057,ST,窄距前后错步·胸胯反向S线,双脚前后窄距错位，形成细长纵向站姿；骨盆与胸腔轻度反向侧移，形成连续S形。,S_CURVE,easy,2,优雅|柔和,full_body|three_quarter,low,assets/pose-images/ST-057.webp
ST-058,ST,窄距前后错步·肩线下压对角,双脚前后窄距错位，形成细长纵向站姿；一侧肩线下降，身体主轴向对侧脚形成对角线。,DIAGONAL,medium,3,时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-058.webp
ST-059,ST,窄距前后错步·侧弯连续弧,双脚前后窄距错位，形成细长纵向站姿；躯干向一侧形成连续弧线并保持颈部延长。,C_CURVE,medium,3,优雅|戏剧化,full_body|three_quarter,low,assets/pose-images/ST-059.webp
ST-060,ST,窄距前后错步·胸腔上提后弓,双脚前后窄距错位，形成细长纵向站姿；胸腔上提并可控后伸，打开身体前侧。,ARCH,medium,4,戏剧化|优雅,full_body|three_quarter,low,assets/pose-images/ST-060.webp
ST-061,ST,窄距前后错步·髋折前倾,双脚前后窄距错位，形成细长纵向站姿；从髋部折叠前倾，保持背部延展形成前向对角。,DIAGONAL,medium,3,时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-061.webp
ST-062,ST,窄距前后错步·胸胯螺旋扭转,双脚前后窄距错位，形成细长纵向站姿；胸腔与骨盆反向旋转形成清晰螺旋。,TWIST,medium,4,时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-062.webp
ST-063,ST,窄距前后错步·纵向拔高非对称,双脚前后窄距错位，形成细长纵向站姿；身体向上拔高，同时左右侧保持不同高度与长度。,ASYMMETRIC,medium,3,时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-063.webp
ST-064,ST,外开宽站·胸胯反向S线,双脚外开并拉开距离，建立稳定开放下盘；骨盆与胸腔轻度反向侧移，形成连续S形。,S_CURVE,medium,3,力量感|优雅|柔和,full_body|three_quarter,low,assets/pose-images/ST-064.webp
ST-065,ST,外开宽站·肩线下压对角,双脚外开并拉开距离，建立稳定开放下盘；一侧肩线下降，身体主轴向对侧脚形成对角线。,DIAGONAL,medium,3,力量感|时尚编辑,full_body|three_quarter,medium,assets/pose-images/ST-065.webp
ST-066,ST,外开宽站·侧弯连续弧,双脚外开并拉开距离，建立稳定开放下盘；躯干向一侧形成连续弧线并保持颈部延长。,C_CURVE,medium,3,力量感|优雅|戏剧化,full_body|three_quarter,low,assets/pose-images/ST-066.webp
ST-067,ST,外开宽站·胸腔上提后弓,双脚外开并拉开距离，建立稳定开放下盘；胸腔上提并可控后伸，打开身体前侧。,ARCH,medium,4,力量感|戏剧化|优雅,full_body|three_quarter,low,assets/pose-images/ST-067.webp
ST-068,ST,外开宽站·髋折前倾,双脚外开并拉开距离，建立稳定开放下盘；从髋部折叠前倾，保持背部延展形成前向对角。,DIAGONAL,medium,3,力量感|时尚编辑,full_body|three_quarter,medium,assets/pose-images/ST-068.webp
ST-069,ST,外开宽站·胸胯螺旋扭转,双脚外开并拉开距离，建立稳定开放下盘；胸腔与骨盆反向旋转形成清晰螺旋。,TWIST,medium,4,力量感|时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-069.webp
ST-070,ST,外开宽站·纵向拔高非对称,双脚外开并拉开距离，建立稳定开放下盘；身体向上拔高，同时左右侧保持不同高度与长度。,ASYMMETRIC,medium,3,力量感|时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-070.webp
ST-071,ST,内收窄站·胸胯反向S线,双腿靠近并轻微内收，轮廓更紧凑；骨盆与胸腔轻度反向侧移，形成连续S形。,S_CURVE,easy,2,清冷|优雅|柔和,full_body|three_quarter,low,assets/pose-images/ST-071.webp
ST-072,ST,内收窄站·肩线下压对角,双腿靠近并轻微内收，轮廓更紧凑；一侧肩线下降，身体主轴向对侧脚形成对角线。,DIAGONAL,medium,3,清冷|时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-072.webp
ST-073,ST,内收窄站·侧弯连续弧,双腿靠近并轻微内收，轮廓更紧凑；躯干向一侧形成连续弧线并保持颈部延长。,C_CURVE,medium,3,清冷|优雅|戏剧化,full_body|three_quarter,low,assets/pose-images/ST-073.webp
ST-074,ST,内收窄站·胸腔上提后弓,双腿靠近并轻微内收，轮廓更紧凑；胸腔上提并可控后伸，打开身体前侧。,ARCH,medium,4,清冷|戏剧化|优雅,full_body|three_quarter,low,assets/pose-images/ST-074.webp
ST-075,ST,内收窄站·髋折前倾,双腿靠近并轻微内收，轮廓更紧凑；从髋部折叠前倾，保持背部延展形成前向对角。,DIAGONAL,medium,3,清冷|时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-075.webp
ST-076,ST,内收窄站·胸胯螺旋扭转,双腿靠近并轻微内收，轮廓更紧凑；胸腔与骨盆反向旋转形成清晰螺旋。,TWIST,medium,4,清冷|时尚编辑,full_body|three_quarter,low,assets/pose-images/ST-076.webp
ST-077,ST,内收窄站·纵向拔高非对称,双腿靠近并轻微内收，轮廓更紧凑；身体向上拔高，同时左右侧保持不同高度与长度。,ASYMMETRIC,medium,3,清冷|时尚编辑,full_body|three_quarter,low,assets/pose-images/ST-077.webp
ST-078,ST,脚尖外展错位·胸胯反向S线,双脚错位且脚尖轻外展，形成时装感足部结构；骨盆与胸腔轻度反向侧移，形成连续S形。,S_CURVE,easy,2,优雅|柔和,full_body|three_quarter,low,assets/pose-images/ST-078.webp
ST-079,ST,脚尖外展错位·肩线下压对角,双脚错位且脚尖轻外展，形成时装感足部结构；一侧肩线下降，身体主轴向对侧脚形成对角线。,DIAGONAL,medium,3,时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-079.webp
ST-080,ST,脚尖外展错位·侧弯连续弧,双脚错位且脚尖轻外展，形成时装感足部结构；躯干向一侧形成连续弧线并保持颈部延长。,C_CURVE,medium,3,优雅|戏剧化,full_body|three_quarter,low,assets/pose-images/ST-080.webp
ST-081,ST,脚尖外展错位·胸腔上提后弓,双脚错位且脚尖轻外展，形成时装感足部结构；胸腔上提并可控后伸，打开身体前侧。,ARCH,medium,4,戏剧化|优雅,full_body|three_quarter,low,assets/pose-images/ST-081.webp
ST-082,ST,脚尖外展错位·髋折前倾,双脚错位且脚尖轻外展，形成时装感足部结构；从髋部折叠前倾，保持背部延展形成前向对角。,DIAGONAL,medium,3,时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-082.webp
ST-083,ST,脚尖外展错位·胸胯螺旋扭转,双脚错位且脚尖轻外展，形成时装感足部结构；胸腔与骨盆反向旋转形成清晰螺旋。,TWIST,medium,4,时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-083.webp
ST-084,ST,脚尖外展错位·纵向拔高非对称,双脚错位且脚尖轻外展，形成时装感足部结构；身体向上拔高，同时左右侧保持不同高度与长度。,ASYMMETRIC,medium,3,时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-084.webp
ST-085,ST,双膝微屈站·胸胯反向S线,双膝轻屈降低重心，站姿更有弹性；骨盆与胸腔轻度反向侧移，形成连续S形。,S_CURVE,medium,3,松弛|优雅|柔和,full_body|three_quarter,low,assets/pose-images/ST-085.webp
ST-086,ST,双膝微屈站·肩线下压对角,双膝轻屈降低重心，站姿更有弹性；一侧肩线下降，身体主轴向对侧脚形成对角线。,DIAGONAL,medium,3,松弛|时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-086.webp
ST-087,ST,双膝微屈站·侧弯连续弧,双膝轻屈降低重心，站姿更有弹性；躯干向一侧形成连续弧线并保持颈部延长。,C_CURVE,medium,3,松弛|优雅|戏剧化,full_body|three_quarter,low,assets/pose-images/ST-087.webp
ST-088,ST,双膝微屈站·胸腔上提后弓,双膝轻屈降低重心，站姿更有弹性；胸腔上提并可控后伸，打开身体前侧。,ARCH,medium,4,松弛|戏剧化|优雅,full_body|three_quarter,low,assets/pose-images/ST-088.webp
ST-089,ST,双膝微屈站·髋折前倾,双膝轻屈降低重心，站姿更有弹性；从髋部折叠前倾，保持背部延展形成前向对角。,DIAGONAL,medium,3,松弛|时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-089.webp
ST-090,ST,双膝微屈站·胸胯螺旋扭转,双膝轻屈降低重心，站姿更有弹性；胸腔与骨盆反向旋转形成清晰螺旋。,TWIST,medium,4,松弛|时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-090.webp
ST-091,ST,双膝微屈站·纵向拔高非对称,双膝轻屈降低重心，站姿更有弹性；身体向上拔高，同时左右侧保持不同高度与长度。,ASYMMETRIC,medium,3,松弛|时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-091.webp
ST-092,ST,单腿轻抬平衡·胸胯反向S线,一腿承重，另一腿离地小幅抬起形成平衡关系；骨盆与胸腔轻度反向侧移，形成连续S形。,S_CURVE,hard,4,时尚编辑|优雅|柔和,full_body|three_quarter,low,assets/pose-images/ST-092.webp
ST-093,ST,单腿轻抬平衡·肩线下压对角,一腿承重，另一腿离地小幅抬起形成平衡关系；一侧肩线下降，身体主轴向对侧脚形成对角线。,DIAGONAL,hard,4,时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-093.webp
ST-094,ST,单腿轻抬平衡·侧弯连续弧,一腿承重，另一腿离地小幅抬起形成平衡关系；躯干向一侧形成连续弧线并保持颈部延长。,C_CURVE,hard,4,时尚编辑|优雅|戏剧化,full_body|three_quarter,low,assets/pose-images/ST-094.webp
ST-095,ST,单腿轻抬平衡·胸腔上提后弓,一腿承重，另一腿离地小幅抬起形成平衡关系；胸腔上提并可控后伸，打开身体前侧。,ARCH,hard,4,时尚编辑|戏剧化|优雅,full_body|three_quarter,low,assets/pose-images/ST-095.webp
ST-096,ST,单腿轻抬平衡·髋折前倾,一腿承重，另一腿离地小幅抬起形成平衡关系；从髋部折叠前倾，保持背部延展形成前向对角。,DIAGONAL,hard,4,时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-096.webp
ST-097,ST,单腿轻抬平衡·胸胯螺旋扭转,一腿承重，另一腿离地小幅抬起形成平衡关系；胸腔与骨盆反向旋转形成清晰螺旋。,TWIST,hard,4,时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-097.webp
ST-098,ST,单腿轻抬平衡·纵向拔高非对称,一腿承重，另一腿离地小幅抬起形成平衡关系；身体向上拔高，同时左右侧保持不同高度与长度。,ASYMMETRIC,hard,4,时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-098.webp
ST-099,ST,后腿跨中线点地·胸胯反向S线,后侧放松腿跨过身体中线点地，制造明显交叉线；骨盆与胸腔轻度反向侧移，形成连续S形。,S_CURVE,medium,3,优雅|柔和,full_body|three_quarter,low,assets/pose-images/ST-099.webp
ST-100,ST,后腿跨中线点地·肩线下压对角,后侧放松腿跨过身体中线点地，制造明显交叉线；一侧肩线下降，身体主轴向对侧脚形成对角线。,DIAGONAL,medium,3,时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-100.webp
ST-101,ST,后腿跨中线点地·侧弯连续弧,后侧放松腿跨过身体中线点地，制造明显交叉线；躯干向一侧形成连续弧线并保持颈部延长。,C_CURVE,medium,3,优雅|戏剧化,full_body|three_quarter,low,assets/pose-images/ST-101.webp
ST-102,ST,后腿跨中线点地·胸腔上提后弓,后侧放松腿跨过身体中线点地，制造明显交叉线；胸腔上提并可控后伸，打开身体前侧。,ARCH,medium,4,戏剧化|优雅,full_body|three_quarter,low,assets/pose-images/ST-102.webp
ST-103,ST,后腿跨中线点地·髋折前倾,后侧放松腿跨过身体中线点地，制造明显交叉线；从髋部折叠前倾，保持背部延展形成前向对角。,DIAGONAL,medium,3,时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-103.webp
ST-104,ST,后腿跨中线点地·胸胯螺旋扭转,后侧放松腿跨过身体中线点地，制造明显交叉线；胸腔与骨盆反向旋转形成清晰螺旋。,TWIST,medium,4,时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-104.webp
ST-105,ST,后腿跨中线点地·纵向拔高非对称,后侧放松腿跨过身体中线点地，制造明显交叉线；身体向上拔高，同时左右侧保持不同高度与长度。,ASYMMETRIC,medium,3,时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-105.webp
ST-106,ST,侧向弓步高位·胸胯反向S线,一侧膝轻屈、另一腿延长，保持高位弓步而不下沉；骨盆与胸腔轻度反向侧移，形成连续S形。,S_CURVE,medium,3,力量感|优雅|柔和,full_body|three_quarter,low,assets/pose-images/ST-106.webp
ST-107,ST,侧向弓步高位·肩线下压对角,一侧膝轻屈、另一腿延长，保持高位弓步而不下沉；一侧肩线下降，身体主轴向对侧脚形成对角线。,DIAGONAL,medium,3,力量感|时尚编辑,full_body|three_quarter,medium,assets/pose-images/ST-107.webp
ST-108,ST,侧向弓步高位·侧弯连续弧,一侧膝轻屈、另一腿延长，保持高位弓步而不下沉；躯干向一侧形成连续弧线并保持颈部延长。,C_CURVE,medium,3,力量感|优雅|戏剧化,full_body|three_quarter,low,assets/pose-images/ST-108.webp
ST-109,ST,侧向弓步高位·胸腔上提后弓,一侧膝轻屈、另一腿延长，保持高位弓步而不下沉；胸腔上提并可控后伸，打开身体前侧。,ARCH,medium,4,力量感|戏剧化|优雅,full_body|three_quarter,low,assets/pose-images/ST-109.webp
ST-110,ST,侧向弓步高位·髋折前倾,一侧膝轻屈、另一腿延长，保持高位弓步而不下沉；从髋部折叠前倾，保持背部延展形成前向对角。,DIAGONAL,medium,3,力量感|时尚编辑,full_body|three_quarter,medium,assets/pose-images/ST-110.webp
ST-111,ST,侧向弓步高位·胸胯螺旋扭转,一侧膝轻屈、另一腿延长，保持高位弓步而不下沉；胸腔与骨盆反向旋转形成清晰螺旋。,TWIST,medium,4,力量感|时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-111.webp
ST-112,ST,侧向弓步高位·纵向拔高非对称,一侧膝轻屈、另一腿延长，保持高位弓步而不下沉；身体向上拔高，同时左右侧保持不同高度与长度。,ASYMMETRIC,medium,3,力量感|时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-112.webp
SI-001,SI,椅边前坐,坐在椅面前缘，双脚着地，躯干自然直立,VERTICAL,easy,2,自然|优雅,full_body|three_quarter|half_body,low,assets/pose-images/SI-001.webp
SI-002,SI,侧坐并腿,身体斜坐，双腿并拢朝同一侧延伸,DIAGONAL,easy,2,优雅|柔和,full_body|three_quarter|half_body,low,assets/pose-images/SI-002.webp
SI-003,SI,高位翘腿,坐姿双腿高位交叉，骨盆稳定，腿线成为视觉重点,DIAGONAL,medium,3,优雅|时尚编辑,full_body|three_quarter|half_body,low,assets/pose-images/SI-003.webp
SI-004,SI,一膝抬高坐,一脚踩近椅面或台阶形成单膝抬高结构,TRIANGLE,medium,3,时尚编辑|松弛,full_body|three_quarter|half_body,low,assets/pose-images/SI-004.webp
SI-005,SI,双膝错位坐,两膝一前一后，脚部错位，避免正面对称,ASYMMETRIC,easy,2,自然|时尚编辑,full_body|three_quarter|half_body,low,assets/pose-images/SI-005.webp
SI-006,SI,前倾肘撑膝,上身明显前倾，前臂或肘部支撑膝部,TRIANGLE,easy,2,清冷|力量感,full_body|three_quarter|half_body,medium,assets/pose-images/SI-006.webp
SI-007,SI,椅背反坐,跨坐或反向使用椅子，前臂落在椅背,TRIANGLE,medium,3,时尚编辑|力量感,full_body|three_quarter|half_body,low,assets/pose-images/SI-007.webp
SI-008,SI,椅面后仰,双手或单手向后支撑，胸腔打开,ARCH,easy,3,松弛|优雅,full_body|three_quarter|half_body,low,assets/pose-images/SI-008.webp
SI-009,SI,坐姿躯干扭转,骨盆留在椅面，胸腔转向侧后方,TWIST,medium,3,时尚编辑|优雅,full_body|three_quarter|half_body,low,assets/pose-images/SI-009.webp
SI-010,SI,侧身轮廓坐,身体近侧面对镜头，强调头肩髋的侧面关系,C_CURVE,easy,2,清冷|优雅,full_body|three_quarter|half_body,low,assets/pose-images/SI-010.webp
